# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
2	and	wf	CC	and	_	ignore	9:12
3	decrease	wf	VB	decrease%1|decrease%2	decrease%2:30:00::	man	13:21
4	in	wf	IN	in	_	ignore	22:24
5	volume	wf	NN	volume%1	volume%1:07:02::	man	25:31
6	or	wf	CC	or	_	ignore	32:34
7	pitch	wf	NN	pitch%1|pitch%2	pitch%1:07:00::	man	35:40
8	,	wf	punc	_	_	ignore	40:41
9	as	wf	RB	as	_	ignore	42:44
10	if	wf	IN	if	_	ignore	45:47
11	in	wf	IN	in	_	ignore	48:50
12	waves	wf	NNS	wave%1|wave%2	wave%1:25:00::	man	51:56
13	;	wf	punc	_	_	ignore	56:57

# text = The singer's voice undulated
# id = 00581355-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	singer's	wf	_	singer%1	_	un	4:12
3	voice	wf	_	voice%1|voice%2	_	un	13:18
4	undulated	wf	_	undulate%2	undulate%2:30:00::	auto	19:28

# text = cause to become vesicular or full of air cells; 
# id = 00580865-v-1
# type = def
1	cause	wf	VB	cause%1|cause%2	_	un	0:5
2	to	wf	TO	to	_	ignore	6:8
3	become	wf	VB	become%2	_	un	9:15
4	vesicular	wf	JJ	vesicular%3	vesicular%3:01:00::	auto	16:25
5	or	wf	CC	or	_	ignore	26:28
6	full	wf	JJ	full%1|full%2|full%3|full%4	_	un	29:33
7	of	wf	IN	of	_	ignore	34:36
8	_	glob|a	_	air_cell%1	air_cell%1:08:00::	auto	_
9	air	cf|a	NN	air%1|air%2	_	un	37:40
10	cells	cf|a	NNS	cell%1	_	un	41:46
11	;	wf	punc	_	_	ignore	46:47

# text = vesiculate an organ
# id = 00580865-v-2
# type = ex
1	vesiculate	wf	_	vesiculate%2	vesiculate%2:30:00::	auto	0:10
2	an	wf	_	an	_	ignore	11:13
3	organ	wf	_	organ%1	_	un	14:19

# text = make motionless
